action_type,combined_shot_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,label
Jump Shot,Jump Shot,34.0393,166,5,-118.1038,1,3,0,5-Jun,55,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,GSW,0
Jump Shot,Jump Shot,33.8683,-192,176,-118.4618,11,4,0,5-Jun,49,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,GSW,0
Running Jump Shot,Jump Shot,33.9703,-36,74,-118.3058,10,4,0,5-Jun,43,8,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,GSW,1
Jump Shot,Jump Shot,33.9533,-128,91,-118.3978,10,4,0,5-Jun,7,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,GSW,
Jump Shot,Jump Shot,33.9263,164,118,-118.1058,7,4,0,5-Jun,0,20,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,GSW,0
Jump Shot,Jump Shot,33.8143,110,230,-118.1598,5,4,0,5-Jun,1,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,GSW,1
Jump Shot,Jump Shot,33.9243,-182,120,-118.4518,3,4,0,5-Jun,20,21,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,GSW,0
Slam Dunk Shot,Dunk,34.0443,0,0,-118.2698,4,5,0,5-Jun,20,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,1
Jump Shot,Jump Shot,33.9603,0,84,-118.2698,2,5,0,5-Jun,25,8,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,GSW,0
Jump Shot,Jump Shot,34.0623,233,-18,-118.0368,2,5,0,5-Jun,12,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,GSW,1
Jump Shot,Jump Shot,33.8883,-90,156,-118.3598,1,5,0,5-Jun,3,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,GSW,
Jump Shot,Jump Shot,34.0473,-174,-3,-118.4438,9,1,0,5-Jun,3,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,8,1,0,5-Jun,43,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,1
Jump Shot,Jump Shot,33.9803,-235,64,-118.5048,8,1,0,5-Jun,8,24,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,DET,0
Jump Shot,Jump Shot,33.7943,43,250,-118.2268,1,1,0,5-Jun,14,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,DET,0
Dunk Shot,Dunk,34.0443,0,0,-118.2698,0,1,0,5-Jun,45,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,1
Jump Shot,Jump Shot,34.0263,-194,18,-118.4638,0,1,0,5-Jun,17,19,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,1
Running Jump Shot,Jump Shot,33.8983,1,146,-118.2688,11,2,0,5-Jun,24,14,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,DET,1
Jump Shot,Jump Shot,34.0343,-151,10,-118.4208,9,2,0,5-Jun,20,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DET,1
Jump Shot,Jump Shot,33.9993,-151,45,-118.4208,9,2,0,5-Jun,5,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DET,1
Jump Shot,Jump Shot,33.8933,105,151,-118.1648,8,2,0,5-Jun,18,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DET,1
Jump Shot,Jump Shot,33.7863,-82,258,-118.3518,4,2,0,5-Jun,53,27,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,DET,0
Jump Shot,Jump Shot,33.8573,-195,187,-118.4648,2,2,0,5-Jun,9,27,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DET,1
Jump Shot,Jump Shot,33.9043,-145,140,-118.4148,1,2,0,5-Jun,23,20,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DET,
Jump Shot,Jump Shot,33.8833,-195,161,-118.4648,0,2,0,5-Jun,11,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DET,0
Jump Shot,Jump Shot,34.0313,-238,13,-118.5078,0,2,0,5-Jun,1,23,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,DET,
Fadeaway Jump Shot,Jump Shot,34.0443,133,0,-118.1368,10,3,0,5-Jun,54,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DET,1
Jump Shot,Jump Shot,33.9063,-151,138,-118.4208,9,3,0,5-Jun,25,20,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DET,0
Jump Bank Shot,Jump Shot,34.0293,-107,15,-118.3768,6,3,0,5-Jun,6,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DET,1
Jump Shot,Jump Shot,33.9683,-143,76,-118.4128,4,3,0,5-Jun,53,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,0
Jump Shot,Jump Shot,33.8243,-138,220,-118.4078,2,3,0,5-Jun,37,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DET,0
Jump Shot,Jump Shot,33.7963,87,248,-118.1828,7,4,0,5-Jun,40,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DET,1
Jump Shot,Jump Shot,34.0443,-182,0,-118.4518,6,4,0,5-Jun,32,18,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,0
Jump Shot,Jump Shot,33.9903,228,54,-118.0418,5,4,0,5-Jun,38,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,DET,0
Layup Shot,Layup,34.0443,0,0,-118.2698,4,4,0,5-Jun,58,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,
Layup Shot,Layup,34.0443,0,0,-118.2698,2,4,0,5-Jun,43,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,0
Jump Shot,Jump Shot,33.8223,-148,222,-118.4178,0,4,0,5-Jun,56,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DET,0
Jump Shot,Jump Shot,34.0393,-232,5,-118.5018,0,4,0,5-Jun,40,23,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,DET,1
Jump Shot,Jump Shot,34.0313,131,13,-118.1388,0,4,0,5-Jun,13,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DET,0
Jump Shot,Jump Shot,33.9763,-179,68,-118.4488,10,1,0,5-Jun,7,19,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NYK,0
Layup Shot,Layup,34.0443,0,0,-118.2698,9,1,0,5-Jun,52,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,1
Fadeaway Jump Shot,Jump Shot,33.8613,82,183,-118.1878,6,1,0,5-Jun,7,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,NYK,1
Jump Shot,Jump Shot,33.8223,-138,222,-118.4078,5,1,0,5-Jun,41,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NYK,
Jump Shot,Jump Shot,33.7963,-2,248,-118.2718,3,1,0,5-Jun,13,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,NYK,1
Alley Oop Dunk Shot,Dunk,34.0443,0,0,-118.2698,2,1,0,5-Jun,44,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,1
Jump Shot,Jump Shot,34.0373,-125,7,-118.3948,1,1,0,5-Jun,1,12,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,NYK,0
Jump Shot,Jump Shot,33.8343,131,210,-118.1388,6,2,0,5-Jun,33,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NYK,
Jump Shot,Jump Shot,33.8253,117,219,-118.1528,5,2,0,5-Jun,45,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NYK,
Jump Shot,Jump Shot,34.0323,-241,12,-118.5108,5,2,0,5-Jun,22,24,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,NYK,0
Jump Shot,Jump Shot,33.8193,-122,225,-118.3918,3,2,0,5-Jun,58,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NYK,0
Layup Shot,Layup,34.0443,0,0,-118.2698,3,2,0,5-Jun,30,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,3,2,0,5-Jun,4,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,
Jump Shot,Jump Shot,34.0273,54,17,-118.2158,1,2,0,5-Jun,58,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,NYK,0
Jump Shot,Jump Shot,33.9833,187,61,-118.0828,0,2,0,5-Jun,1,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,0
Jump Shot,Jump Shot,33.8063,-52,238,-118.3218,10,4,0,5-Jun,32,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,NYK,1
Jump Shot,Jump Shot,33.8303,136,214,-118.1338,9,4,0,5-Jun,31,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NYK,
Jump Shot,Jump Shot,33.9343,163,110,-118.1068,11,1,0,5-Jun,2,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,IND,0
Jump Shot,Jump Shot,33.9633,166,81,-118.1038,10,1,0,5-Jun,16,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,IND,1
Jump Shot,Jump Shot,33.9733,10,71,-118.2598,9,1,0,5-Jun,57,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,IND,0
Layup Shot,Layup,34.0193,-8,25,-118.2778,8,1,0,5-Jun,28,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,0
Jump Shot,Jump Shot,34.0493,187,-5,-118.0828,7,1,0,5-Jun,57,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,IND,0
Jump Shot,Jump Shot,34.0133,6,31,-118.2638,7,1,0,5-Jun,47,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,
Driving Layup Shot,Layup,34.0223,0,22,-118.2698,6,1,0,5-Jun,39,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,
Jump Shot,Jump Shot,33.8013,-69,243,-118.3388,6,1,0,5-Jun,14,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,IND,0
Jump Shot,Jump Shot,33.8993,-138,145,-118.4078,4,1,0,5-Jun,32,20,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,IND,1
Layup Shot,Layup,34.0243,13,20,-118.2568,3,1,0,5-Jun,34,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,0
Turnaround Finger Roll Shot,Layup,34.0133,0,31,-118.2698,1,1,0,5-Jun,21,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,1
Jump Shot,Jump Shot,34.0093,115,35,-118.1548,6,2,0,5-Jun,30,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,IND,0
Jump Shot,Jump Shot,34.0093,241,35,-118.0288,1,2,0,5-Jun,22,24,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,IND,
Jump Shot,Jump Shot,33.8703,-172,174,-118.4418,0,2,0,5-Jun,35,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,IND,1
Jump Shot,Jump Shot,33.7863,-11,258,-118.2808,0,2,0,5-Jun,8,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,IND,0
Jump Shot,Jump Shot,33.9553,-161,89,-118.4308,11,3,0,5-Jun,21,18,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,IND,
Jump Shot,Jump Shot,33.8433,5,201,-118.2648,9,3,0,5-Jun,40,20,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,IND,0
Jump Shot,Jump Shot,34.0653,-49,-21,-118.3188,8,3,0,5-Jun,55,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,IND,0
Jump Shot,Jump Shot,33.8713,195,173,-118.0748,4,3,0,5-Jun,22,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,IND,1
Jump Shot,Jump Shot,33.7963,8,248,-118.2618,2,3,0,5-Jun,54,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,IND,0
Jump Shot,Jump Shot,34.0083,164,36,-118.1058,0,3,0,5-Jun,58,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,IND,
Driving Finger Roll Shot,Layup,34.0143,11,30,-118.2588,0,3,0,5-Jun,40,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,IND,1
Jump Shot,Jump Shot,33.8093,-118,235,-118.3878,5,4,0,5-Jun,46,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,IND,0
Jump Shot,Jump Shot,33.7763,-3,268,-118.2728,4,4,0,5-Jun,10,26,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,IND,0
Layup Shot,Layup,34.0443,0,0,-118.2698,9,1,0,5-Jun,4,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHA,1
Jump Shot,Jump Shot,33.8683,-171,176,-118.4408,5,1,0,5-Jun,34,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,1
Jump Shot,Jump Shot,33.8203,126,224,-118.1438,3,1,0,5-Jun,31,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,
Reverse Dunk Shot,Dunk,34.0443,0,0,-118.2698,2,1,0,5-Jun,32,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHA,1
Jump Shot,Jump Shot,34.0113,158,33,-118.1118,4,2,0,5-Jun,54,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,CHA,1
Jump Shot,Jump Shot,33.9523,98,92,-118.1718,4,2,0,5-Jun,14,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,CHA,0
Jump Shot,Jump Shot,33.8353,161,209,-118.1088,2,2,0,5-Jun,34,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,0
Reverse Layup Shot,Layup,34.0443,0,0,-118.2698,2,2,0,5-Jun,15,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHA,1
Jump Shot,Jump Shot,34.0013,-43,43,-118.3128,1,2,0,5-Jun,44,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,CHA,1
Jump Shot,Jump Shot,33.8763,141,168,-118.1288,11,3,0,5-Jun,37,21,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHA,
Jump Shot,Jump Shot,34.0323,-195,12,-118.4648,11,3,0,5-Jun,1,19,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,CHA,1
Fadeaway Jump Shot,Jump Shot,34.0083,159,36,-118.1108,8,3,0,5-Jun,5,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,CHA,1
Jump Shot,Jump Shot,33.8993,-115,145,-118.3848,5,3,0,5-Jun,19,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,CHA,1
Turnaround Jump Shot,Jump Shot,34.0293,161,15,-118.1088,4,3,0,5-Jun,14,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,CHA,1
Jump Shot,Jump Shot,33.8023,-11,242,-118.2808,0,3,0,5-Jun,28,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,CHA,1
Jump Shot,Jump Shot,33.8683,172,176,-118.0978,10,4,0,5-Jun,26,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.9033,207,141,-118.0628,7,4,0,5-Jun,21,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,
Jump Shot,Jump Shot,33.8153,-107,229,-118.3768,1,4,0,5-Jun,0,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,34.0343,148,10,-118.1218,10,1,0,5-Jun,9,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NOP,0
Jump Shot,Jump Shot,33.9653,146,79,-118.1238,9,1,0,5-Jun,29,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NOP,0
Jump Shot,Jump Shot,33.8603,164,184,-118.1058,9,1,0,5-Jun,25,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,1
Jump Shot,Jump Shot,34.0143,161,30,-118.1088,8,1,0,5-Jun,56,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NOP,1
Jump Shot,Jump Shot,33.9763,89,68,-118.1808,8,1,0,5-Jun,17,11,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NOP,1
Jump Shot,Jump Shot,33.9503,-135,94,-118.4048,6,1,0,5-Jun,29,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NOP,1
Jump Shot,Jump Shot,33.8373,-128,207,-118.3978,5,1,0,5-Jun,54,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NOP,1
Jump Shot,Jump Shot,33.8663,166,178,-118.1038,4,1,0,5-Jun,51,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,1
Jump Shot,Jump Shot,33.8913,-191,153,-118.4608,4,1,0,5-Jun,0,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NOP,0
Jump Shot,Jump Shot,33.8633,-172,181,-118.4418,2,1,0,5-Jun,28,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NOP,0
Layup Shot,Layup,34.0443,0,0,-118.2698,1,1,0,5-Jun,13,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NOP,1
Fadeaway Jump Shot,Jump Shot,33.9723,-153,72,-118.4228,0,1,0,5-Jun,40,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NOP,0
Fadeaway Jump Shot,Jump Shot,33.9903,144,54,-118.1258,0,1,0,5-Jun,0,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NOP,
Jump Shot,Jump Shot,33.8803,-187,164,-118.4568,8,2,0,5-Jun,14,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NOP,0
Jump Shot,Jump Shot,33.9763,-2,68,-118.2718,7,2,0,5-Jun,31,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,NOP,0
Jump Shot,Jump Shot,33.9903,131,54,-118.1388,2,2,0,5-Jun,32,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NOP,0
Jump Shot,Jump Shot,33.8423,158,202,-118.1118,0,2,0,5-Jun,0,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,1
Jump Shot,Jump Shot,33.8913,-200,153,-118.4698,10,3,0,5-Jun,28,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NOP,0
Dunk Shot,Dunk,34.0443,0,0,-118.2698,7,3,0,5-Jun,42,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NOP,1
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,5,3,0,5-Jun,20,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NOP,1
Jump Shot,Jump Shot,33.8533,159,191,-118.1108,2,3,0,5-Jun,8,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,1
Jump Shot,Jump Shot,33.8403,140,204,-118.1298,0,3,0,5-Jun,55,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,0
Jump Shot,Jump Shot,33.8453,172,199,-118.0978,3,4,0,5-Jun,32,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NOP,0
Layup Shot,Layup,34.0443,0,0,-118.2698,3,4,0,5-Jun,21,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NOP,0
Fadeaway Jump Shot,Jump Shot,34.0213,159,23,-118.1108,3,4,0,5-Jun,9,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NOP,1
Fadeaway Jump Shot,Jump Shot,34.0293,153,15,-118.1168,2,4,0,5-Jun,11,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NOP,0
Jump Shot,Jump Shot,34.0293,190,15,-118.0798,10,1,0,5-Jun,29,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DAL,0
Jump Shot,Jump Shot,34.0163,115,28,-118.1548,7,1,0,5-Jun,9,11,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DAL,0
Jump Shot,Jump Shot,34.0183,190,26,-118.0798,7,1,0,5-Jun,4,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DAL,
Jump Shot,Jump Shot,33.8473,-154,197,-118.4238,6,1,0,5-Jun,9,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,1
Jump Shot,Jump Shot,33.7763,57,268,-118.2128,3,1,0,5-Jun,43,27,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,34.0623,-164,-18,-118.4338,1,1,0,5-Jun,37,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DAL,0
Running Jump Shot,Jump Shot,34.0163,77,28,-118.1928,0,1,0,5-Jun,45,8,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,DAL,1
Jump Shot,Jump Shot,33.8833,-181,161,-118.4508,0,2,0,5-Jun,1,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,33.8423,-80,202,-118.3498,11,3,0,5-Jun,48,21,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DAL,0
Jump Shot,Jump Shot,33.8803,-184,164,-118.4538,10,3,0,5-Jun,53,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,33.8833,-182,161,-118.4518,7,3,0,5-Jun,45,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,1
Jump Shot,Jump Shot,33.9123,136,132,-118.1338,7,3,0,5-Jun,2,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DAL,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,6,3,0,5-Jun,11,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,1
Jump Shot,Jump Shot,33.8683,103,176,-118.1668,2,3,0,5-Jun,59,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DAL,0
Layup Shot,Layup,34.0443,0,0,-118.2698,1,3,0,5-Jun,21,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,0
Jump Shot,Jump Shot,33.8763,-200,168,-118.4698,0,3,0,5-Jun,29,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,33.7813,-171,263,-118.4408,9,4,0,5-Jun,16,31,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,33.8013,163,243,-118.1068,6,4,0,5-Jun,27,29,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DAL,1
Jump Shot,Jump Shot,33.8843,-182,160,-118.4518,6,4,0,5-Jun,8,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Jump Shot,Jump Shot,33.8653,-225,179,-118.4948,5,4,0,5-Jun,10,28,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DAL,0
Reverse Layup Shot,Layup,34.0443,0,0,-118.2698,2,4,0,5-Jun,41,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DAL,0
Jump Shot,Jump Shot,33.7993,46,245,-118.2238,1,4,0,5-Jun,15,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,DAL,0
Layup Shot,Layup,34.0443,0,0,-118.2698,4,1,0,5-Jun,33,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,
Jump Shot,Jump Shot,33.8403,176,204,-118.0938,0,1,0,5-Jun,46,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,
Jump Shot,Jump Shot,33.8933,-163,151,-118.4328,10,2,0,5-Jun,15,22,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,1
Jump Shot,Jump Shot,33.8013,-80,243,-118.3498,6,2,0,5-Jun,31,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,HOU,0
Jump Shot,Jump Shot,33.9653,125,79,-118.1448,4,2,0,5-Jun,49,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,HOU,1
Reverse Layup Shot,Layup,34.0443,0,0,-118.2698,3,2,0,5-Jun,57,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,
Jump Shot,Jump Shot,34.0213,-153,23,-118.4228,2,2,0,5-Jun,3,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,1
Jump Shot,Jump Shot,33.8683,195,176,-118.0748,11,3,0,5-Jun,15,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,0
Fadeaway Jump Shot,Jump Shot,34.0443,144,0,-118.1258,8,3,0,5-Jun,24,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,HOU,0
Jump Shot,Jump Shot,33.8883,97,156,-118.1728,7,3,0,5-Jun,59,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,33.8993,38,145,-118.2318,6,3,0,5-Jun,9,14,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,HOU,1
Turnaround Jump Shot,Jump Shot,33.9883,-133,56,-118.4028,5,3,0,5-Jun,33,14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,1
Turnaround Jump Shot,Jump Shot,34.0113,-102,33,-118.3718,4,3,0,5-Jun,56,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,1
Turnaround Jump Shot,Jump Shot,33.8983,-107,146,-118.3768,4,3,0,5-Jun,20,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,
Jump Shot,Jump Shot,33.8683,69,176,-118.2008,3,3,0,5-Jun,49,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,1
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,1,3,0,5-Jun,40,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Fadeaway Jump Shot,Jump Shot,33.8893,-77,155,-118.3468,1,3,0,5-Jun,6,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,33.8573,-21,187,-118.2908,0,3,0,5-Jun,47,18,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,HOU,0
Running Jump Shot,Jump Shot,33.8913,-145,153,-118.4148,0,3,0,5-Jun,9,21,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,0
